Bifidobacterium longum subsp. longum,LO-21
Bifidobacterium longum subsp. longum,LO-C29
Bifidobacterium longum subsp. longum,LO-K29a
Bifidobacterium longum subsp. longum,LO-K29b
Bifidobacterium longum subsp. longum,MC-42
Bifidobacterium longum subsp. longum,NCIMB8809
Bifidobacterium longum subsp. longum,VMKB44
Bifidobacterium longum subsp. longum,W11
Bifidobacterium longum subsp. suis,LMG 21814T
Bifidobacterium longum subsp. suis,BSM11-5
Bifidobacterium magnum,LMG 11591T
Bifidobacterium merycicum,LMG 11341T
Bifidobacterium minimum,LMG 11592T
Bifidobacterium mongoliense,DSM 21395T
Bifidobacterium moukalabense,DSM 27321T
Bifidobacterium myosotis,DSM 100196T
Bifidobacterium pseudocatenulatum,LMG 10505T
Bifidobacterium pseudocatenulatum,121
Bifidobacterium pseudocatenulatum,1896B
Bifidobacterium pseudocatenulatum,2789STDY5834840
Bifidobacterium pseudocatenulatum,CA-05
Bifidobacterium pseudocatenulatum,CA-B29
Bifidobacterium pseudocatenulatum,CA-C29
Bifidobacterium pseudocatenulatum,CA-D29
Bifidobacterium pseudocatenulatum,CA-K29a
Bifidobacterium pseudocatenulatum,CA-K29b
Bifidobacterium pseudocatenulatum,CECT 7765
Bifidobacterium pseudocatenulatum,IPLA36007
Bifidobacterium pseudolongum,AGR2145
Bifidobacterium pseudolongum,PV8-2
Bifidobacterium pseudolongum subsp. globosum,LMG 11569T
Bifidobacterium pseudolongum subsp. pseudolongum,LMG 11571T
Bifidobacterium psychraerophilum,LMG 21775T
Bifidobacterium pullorum,DSM 20433T
Bifidobacterium reuteri,DSM 23975T
Bifidobacterium ruminantium,LMG 21811T
Bifidobacterium saeculare,LMG 14934T
Bifidobacterium saguini,DSM 23967T
Bifidobacterium scardovii,LMG 21589T
Bifidobacterium stellenboschense,DSM 23968T
Bifidobacterium subtile,LMG 11597T
Bifidobacterium thermacidophilum subsp. porcinum,LMG 21689T
Bifidobacterium thermacidophilum subsp. thermacidophilum,LMG 21395T
Bifidobacterium thermophilum,DSM 20212T
Bifidobacterium thermophilum,DSM 20210
Bifidobacterium thermophilum,JCM 1207
Bifidobacterium thermophilum,RBL67
Bifidobacterium tissieri,DSM 100201T
Bifidobacterium tsurumiense,JCM 13495T
